col,count
one,606
frank,605
winston,506
said,504
even,408
like,368
man,340
time,340
world,307
two,297
still,295
party,284
thought,263
seemed,245
o,244
face,235
back,228
old,226
never,220
people,219
com,215
1984,208
brien,205
know,196
alf,188
also,187
always,185
way,182
years,173
room,173
already,172
little,169
big,169
free,167
three,167
kohlhaas,166
looked,165
moment,165
day,164
new,162
long,161
eyes,160
another,158
men,157
made,157
come,153
must,147
away,146
place,146
almost,145
thing,143
something,143
first,139
words,138
see,138
war,138
came,136
make,134
dark,133
planet,133
life,132
voice,131
knew,130
mind,130
called,130
ebooks,129
ebook,129
without,128
might,128
ever,128
much,127
look,127
young,126
julia,126
though,126
nothing,125
every,124
say,122
good,121
past,119
front,116
end,115
round,114
right,114
go,112
perhaps,112
small,112
get,111
think,110
word,109
many,109
since,108
ing,106
hand,106
head,105
went,105
turned,104
well,103
whole,100
power,98
behind,98
great,97
suddenly,97
kind,96
finally,96
far,95
work,95
us,94
cell,94
next,94
got,93
tried,93
body,93
enough,93
side,93
four,92
times,92
took,92
seen,91
everything,91
light,91
yes,91
door,90
hours,89
white,88
order,88
telescreen,87
heard,87
wilden,87
last,87
paris,86
human,86
minutes,86
become,85
days,85
mr,85
possible,85
police,84
woman,83
left,82
really,82
want,82
didn,82
sometimes,81
table,80
pain,80
things,79
alfred,79
brother,79
felt,78
full,78
bed,78
newspeak,78
sat,77
yet,77
street,77
baumer,76
saw,76
probably,76
anything,76
black,76
remember,75
soon,74
happened,74
became,74
put,73
necessary,73
half,73
however,72
except,72
around,72
feeling,72
take,70
hands,70
air,70
girl,69
tell,69
sort,69
fact,68
course,68
done,68
part,68
began,68
children,68
five,68
freeebooksatplanetebook,67
re,67
others,67
somewhere,66
village,66
answered,65
water,65
morning,65
let,65
give,65
actually,64
quite,64
ago,64
used,63
ministry,63
longer,63
death,63
nevertheless,63
better,63
gave,63
simply,62
large,62
merely,61
appeared,61
wall,60
outside,60
night,60
stood,60
year,60
thirty,60
house,60
europe,59
hour,59
important,59
meanwhile,59
alone,59
walked,59
able,58
oceania,58
corner,58
m,57
later,57
glass,57
real,57
heart,57
less,57
dead,57
whether,56
certain,56
passed,56
enormous,56
started,56
love,55
told,55
case,55
middle,55
hok,55
brought,55
towards,54
clock,54
different,54
several,54
believe,54
wanted,54
act,53
today,53
hair,53
asked,53
stopped,53
impossible,52
need,52
government,52
true,52
control,51
second,51
across,51
citizen,51
deep,51
although,51
inner,50
else,50
inside,50
eye,50
tunnel,50
ground,50
hardly,50
sure,49
use,49
red,49
find,49
ten,49
looking,49
floor,49
shall,49
memory,49
often,48
paper,48
slowly,48
understand,48
name,47
followed,47
upon,47
freedom,47
found,47
sleep,47
proles,47
friend,46
person,46
forward,46
together,46
political,46
sound,46
gone,46
open,46
book,46
keep,46
set,45
system,45
seconds,45
hate,45
arm,45
taken,45
members,45
1,45
mother,44
fear,44
ve,44
twenty,44
talk,44
lot,44
noticed,44
victory,44
fingers,44
short,44
near,44
held,44
lost,43
crowd,43
streets,43
city,43
window,43
darkness,43
member,43
changed,43
kept,42
cold,42
piece,42
nobody,42
read,41
hole,41
turn,41
completely,41
rebels,41
mean,41
peace,41
matter,41
opened,41
meaning,41
point,41
l,40
within,40
opposite,40
lay,40
job,40
whose,40
bad,40
nearly,40
truth,40
holo,40
week,40
president,40
idea,40
continued,39
boy,39
former,39
may,39
close,39
de,39
dirty,39
rest,39
high,39
early,39
ran,39
stop,39
present,38
remembered,38
meant,38
example,38
official,38
ivas,38
fell,38
exist,38
state,38
therefore,38
heavy,38
home,38
car,38
reality,38
hold,38
among,37
eurasia,37
houses,37
top,37
speak,37
given,37
sight,37
enemy,37
parsons,37
explained,37
feel,37
fight,37
question,37
returned,37
sense,36
sewer,36
trying,36
exactly,36
smiled,36
existed,36
group,36
food,36
future,36
everyone,36
country,36
help,36
change,36
strange,36
smell,36
shut,35
gin,35
somehow,35
mouth,35
reached,35
reason,35
immediately,35
talking,35
women,35
care,35
age,35
arms,35
single,35
ingsoc,35
speech,35
waiting,35
syme,35
pulled,35
happen,34
bring,34
standing,34
disappeared,34
policemen,34
central,34
going,34
self,34
ll,34
months,34
corridor,34
working,34
sister,34
number,34
hope,33
father,33
faces,33
apart,33
difficult,33
remained,33
scanchip,33
clothes,33
history,33
lived,33
broken,33
known,33
moreover,33
walls,33
either,33
written,33
alive,33
quietly,33
added,33
show,32
sitting,32
revolution,32
needed,32
goldstein,32
dangerous,32
following,32
coming,32
usual,32
computer,32
prisoners,32
easy,32
b,32
eastasia,32
society,32
lies,31
underground,31
screen,31
weeks,31
forgotten,31
led,31
nose,31
picture,31
tunnels,31
someone,31
least,31
kill,31
distance,31
secret,31
worked,30
