col,count
frank,605
one,582
winston,506
said,504
even,408
like,347
time,336
man,335
still,294
two,290
party,284
world,283
thought,253
seemed,245
o,239
face,234
back,227
old,219
people,219
never,213
1984,208
brien,205
com,196
know,195
alf,188
also,187
always,185
way,181
already,172
years,172
little,169
big,169
room,168
free,167
kohlhaas,166
looked,165
moment,161
eyes,160
another,158
made,157
men,156
new,156
long,156
day,155
three,152
come,152
must,147
away,146
almost,144
thing,143
something,143
place,139
words,138
see,138
first,137
came,136
war,134
planet,133
make,132
life,131
knew,130
voice,130
ebooks,129
ebook,129
mind,129
without,128
might,128
called,128
much,127
ever,127
young,126
julia,126
though,126
nothing,125
look,124
say,122
past,119
every,118
dark,117
-,117
end,113
front,113
perhaps,112
round,112
right,112
small,111
good,111
get,110
go,109
many,109
think,108
since,108
word,106
went,105
turned,104
head,104
ing,103
hand,102
whole,100
behind,98
well,97
suddenly,97
power,96
kind,96
great,96
finally,96
far,95
us,94
cell,94
next,94
got,93
tried,93
body,93
enough,93
work,93
times,92
took,92
seen,91
everything,91
yes,91
door,89
light,89
side,89
order,88
hours,88
telescreen,87
heard,87
wilden,87
last,87
paris,86
four,86
minutes,86
become,85
human,85
days,85
mr,85
possible,85
police,84
white,83
woman,82
really,82
want,82
didn,82
left,81
sometimes,81
pain,80
things,79
alfred,79
brother,79
felt,78
bed,78
newspeak,78
table,77
sat,77
yet,77
baumer,76
saw,76
full,76
probably,76
anything,76
remember,75
soon,74
happened,74
became,74
put,73
necessary,73
however,72
except,72
around,72
feeling,72
street,72
hands,70
girl,69
tell,69
take,69
sort,69
fact,68
course,68
done,68
began,68
children,68
air,68
freeebooksatplanetebook,67
others,67
black,67
somewhere,66
part,66
village,66
answered,65
morning,65
let,65
give,65
actually,64
quite,64
water,64
ago,64
used,63
ministry,63
longer,63
nevertheless,63
better,63
gave,63
simply,62
large,62
merely,61
appeared,61
wall,60
outside,60
death,60
night,60
stood,60
europe,59
meanwhile,59
alone,59
walked,59
able,58
oceania,58
corner,58
m,57
later,57
glass,57
important,57
heart,57
five,57
less,57
whether,56
certain,56
passed,56
enormous,56
house,56
started,56
dead,56
told,55
real,55
year,55
hour,55
hok,55
brought,55
towards,54
different,54
several,54
believe,54
wanted,54
act,53
today,53
hair,53
asked,53
stopped,53
clock,52
impossible,52
need,52
government,52
half,52
true,52
love,51
control,51
across,51
citizen,51
although,51
inner,50
else,50
inside,50
tunnel,50
ground,50
middle,50
hardly,50
sure,49
use,49
second,49
find,49
ten,49
floor,49
shall,49
memory,49
often,48
eye,48
slowly,48
deep,48
understand,48
name,47
followed,47
upon,47
freedom,47
case,47
found,47
proles,47
friend,46
person,46
paper,46
forward,46
gone,46
sleep,46
keep,46
set,45
system,45
seconds,45
hate,45
together,45
political,45
taken,45
members,45
open,45
book,45
ve,44
talk,44
noticed,44
victory,44
fingers,44
held,44
lost,43
mother,43
streets,43
city,43
fear,43
lot,43
short,43
member,43
changed,43
kept,42
crowd,42
red,42
piece,42
nobody,42
darkness,42
near,42
hole,41
turn,41
completely,41
arm,41
rebels,41
peace,41
cold,41
thirty,41
matter,41
opened,41
meaning,41
l,40
opposite,40
re,40
job,40
whose,40
nearly,40
holo,40
week,40
sound,40
president,40
idea,40
within,39
continued,39
boy,39
former,39
read,39
may,39
truth,39
rest,39
looking,39
early,39
ran,39
meant,38
example,38
lay,38
close,38
official,38
window,38
ivas,38
fell,38
exist,38
therefore,38
home,38
point,38
hold,38
stop,38
among,37
remembered,37
eurasia,37
top,37
given,37
sight,37
dirty,37
enemy,37
bad,37
mean,37
parsons,37
explained,37
fight,37
question,37
heavy,37
returned,37
reality,37
sense,36
sewer,36
trying,36
exactly,36
smiled,36
existed,36
group,36
food,36
everyone,36
country,36
high,36
help,36
state,36
change,36
strange,36
smell,36
shut,35
somehow,35
houses,35
mouth,35
future,35
reached,35
reason,35
immediately,35
talking,35
women,35
age,35
arms,35
ingsoc,35
speech,35
waiting,35
syme,35
pulled,35
happen,34
present,34
bring,34
standing,34
speak,34
disappeared,34
central,34
in-,34
going,34
ll,34
months,34
corridor,34
car,34
number,34
hope,33
faces,33
apart,33
difficult,33
policemen,33
remained,33
scanchip,33
clothes,33
history,33
feel,33
lived,33
single,33
moreover,33
walls,33
either,33
sister,33
written,33
alive,33
quietly,33
added,33
father,32
gin,32
sitting,32
revolution,32
needed,32
goldstein,32
dangerous,32
following,32
care,32
coming,32
broken,32
usual,32
known,32
prisoners,32
easy,32
eastasia,32
society,32
lies,31
show,31
underground,31
screen,31
weeks,31
led,31
nose,31
tunnels,31
someone,31
least,31
working,31
kill,31
distance,31
secret,31
leave,30
existence,30
wechsler,30
bit,30
building,30
live,30
beyond,30
feet,30
plan,30
picture,30
voices,30
stared,30
worked,29
covered,29
population,29
pushed,29
silent,29
general,29
chapter,29
whispered,29
books,29
hundred,29
lie,29
vocabulary,29
child,29
j,29
caught,29
doublethink,29
groups,28
occurred,28
struck,28
news,28
stand,28
hear,28
physical,28
area,28
crept,28
diary,28
hundreds,28
london,28
movement,28
whatever,28
singing,28
shoot,28
terrible,28
walk,28
cut,28
boots,28
thinking,28
shot,28
beautiful,28
thoughts,28
thick,27
complex,27
mass,27
oh,27
morris,27
anymore,27
workers,27
d,27
public,27
forgotten,27
till,27
dream,27
hard,27
effort,27
patient,27
evening,27
moved,27
coffee,27
computer,27
pieces,27
be-,27
message,27
empty,27
afterwards,26
production,26
process,26
stuff,26
security,26
along,26
please,26
officer,26
six,26
steel,26
earth,26
family,26
otherwise,26
er,26
knees,26
france,26
overalls,26
ly,26
language,26
square,26
masses,26
die,26
policeman,26
call,26
blue,26
century,26
filled,25
expression,25
earlier,25
hit,25
everywhere,25
remain,25
skin,25
aware,25
grown,25
quarter,25
knowledge,25
department,25
meet,25
okay,25
sign,25
direction,25
brain,25
damn,25
speaking,24
avenue,24
month,24
records,24
interest,24
military,24
wrong,24
difference,24
strong,24
ask,24
hall,24
millions,24
danger,24
occasionally,24
happy,24
chair,24
shortly,24
hatred,24
smile,24
complete,24
conscious,24
huge,24
killed,24
moon,23
humanity,23
japan,23
normal,23
kitchen,23
brotherhood,23
indeed,23
move,23
consciousness,23
passage,23
problem,23
guards,23
hissed,23
rats,23
tiny,23
talked,23
con-,23
win-,23
closed,23
larger,23
stairs,23
line,23
bloody,23
nearer,23
means,23
countries,22
ready,22
anyone,22
perfectly,22
situation,22
growing,22
powerful,22
surface,22
instant,22
spectacles,22
dust,22
de,22
yelled,22
obviously,22
comrade,22
music,22
quickly,22
fighting,22
guard,22
writing,22
flat,22
edge,22
clear,22
governor,22
recognized,22
gcf,22
charrington,22
position,22
teeth,22
knowing,22
step,22
b,22
easily,22
blood,22
examined,22
learn,22
watched,22
bells,22
start,22
operation,21
map,21
low,21
grew,21
ways,21
community,21
shouting,21
stay,21
ordinary,21
screamed,21
1-564398b-278843,21
hidden,21
destroyed,21
111-f-47,21
tion,21
noise,21
impression,21
late,21
wondered,21
neck,21
vast,21
beside,21
rebel,21
murmured,21
breath,21
picked,21
torture,21
english,21
thousands,21
best,21
running,21
believed,21
ones,21
crimes,21
event,21
lasted,21
lying,21
seem,21
quiet,21
fire,21
expected,21
appearance,21
re-,21
minute,21
television,20
resounded,20
soldiers,20
instance,20
tomorrow,20
st,20
level,20
comes,20
nervous,20
meters,20
ed,20
movements,20
natural,20
cover,20
al-,20
eurasian,20
pocket,20
media,20
curious,20
date,20
bomb,20
twenty,20
ston,20
return,20
attention,20
powers,20
sun,20
allowed,20
metres,20
chance,20
run,20
corridors,20
narrow,20
making,20
straight,20
van,19
com-,19
couple,19
forth,19
rather,19
afternoon,19
metro,19
saying,19
attack,19
shit,19
smith,19
fresh,19
produced,19
iron,19
bread,19
plans,19
ear,19
sky,19
hated,19
isn,19
chocolate,19
endless,19
tears,19
follow,19
force,19
temple,19
ex-,19
glance,19
paused,19
torn,19
asleep,19
wood,19
contained,19
imagine,19
showed,19
slightly,18
explain,18
wrote,18
field,18
hell,18
wife,18
altered,18
shop,18
filthy,18
prison,18
destroy,18
desire,18
seven,18
machine,18
faint,18
evidence,18
un-,18
00,18
answer,18
french,18
names,18
wait,18
principle,18
carried,18
pure,18
gun,18
sweat,18
sent,18
stupid,18
church,18
broke,18
bones,18
decided,18
class,18
pressed,18
god,18
happening,18
tina,18
song,18
common,18
mostly,18
strength,18
try,18
older,18
mental,18
spies,18
living,18
parts,17
watch,17
raised,17
army,17
purpose,17
eastern,17
understanding,17
perfect,17
reading,17
form,17
bodies,17
sit,17
boss,17
falling,17
madness,17
safe,17
swallowed,17
reach,17
crossed,17
rate,17
ended,17
doubt,17
cause,17
prisoner,17
instead,17
glad,17
numbers,17
warm,17
problems,17
slogans,17
figure,17
nature,17
basin,17
meeting,17
facts,17
screaming,17
partly,17
escape,17
terror,17
tolerance,17
officers,17
abandoned,17
metal,17
guy,17
japanese,17
economic,17
1,17
born,17
weapons,17
brown,17
shoulder,17
sooner,17
walking,17
begin,17
forces,17
worse,17
rules,17
funny,17
shouted,17
won,17
de-,17
hurry,16
dropped,16
101,16
vaguely,16
special,16
eight,16
gazed,16
tube,16
angry,16
beneath,16
contact,16
prepared,16
dial,16
mrs,16
watching,16
sharp,16
beginning,16
desk,16
thus,16
transport,16
bombs,16
fifty,16
plank,16
view,16
oldspeak,16
some-,16
worst,16
razor,16
bought,16
flung,16
cruel,16
memories,16
ugly,16
aim,16
surprise,16
ruling,16
concerned,16
constantly,16
loud,16
nervously,16
join,16
planned,16
shoulders,16
spoke,16
gesture,16
furthermore,16
canalization,16
telescreens,16
waited,16
violent,16
sector,16
court,16
rose,16
international,16
windows,16
martin,15
trial,15
luck,15
code,15
particular,15
belly,15
beings,15
fallen,15
repeated,15
totally,15
forget,15
eat,15
hotel,15
main,15
exists,15
cage,15
katharine,15
minds,15
rocket,15
arrested,15
horror,15
ears,15
principles,15
rebellion,15
steps,15
figures,15
wish,15
compiegne,15
manner,15
rage,15
colour,15
instinct,15
ment,15
million,15
sorry,15
africa,15
places,15
vision,15
dare,15
finished,15
organization,15
interesting,15
continuous,15
cigarette,15
north,15
says,15
meanings,15
panic,15
directly,15
dictionary,15
law,15
version,15
taking,14
suicide,14
briefly,14
lunch,14
buy,14
office,14
woke,14
grumbled,14
everybody,14
fro,14
jumped,14
automated,14
vague,14
spoken,14
lunatic,14
spent,14
imagined,14
confess,14
object,14
enemies,14
lives,14
blow,14
realized,14
sank,14
fast,14
invented,14
closer,14
bigger,14
tree,14
loved,14
original,14
e,14
wave,14
dis-,14
eh,14
ampleforth,14
knows,14
flashlight,14
capital,14
entered,14
creature,14
survive,14
laid,14
break,14
john,14
waist,14
zone,14
an-,14
feelings,14
similar,14
block,14
formed,14
mere,14
leader,14
league,14
tall,14
dear,14
besides,14
couldn,14
getting,14
slipped,14
abolished,14
possibility,14
calm,14
forest,14
judge,14
construction,14
lf,14
vehicle,14
cried,14
frenchmen,14
informations,14
listen,14
vaporized,14
prey,14
