col,count
winston,527
one,433
said,341
even,307
party,289
o,207
like,206
brien,205
time,199
face,195
thought,187
never,177
seemed,173
two,164
back,154
moment,152
still,150
man,149
always,146
know,133
almost,128
way,127
another,125
though,124
words,123
war,122
might,122
years,120
eyes,120
made,114
little,114
knew,113
long,109
thing,108
round,108
three,108
old,107
past,107
people,106
must,105
say,104
away,101
julia,100
something,99
voice,98
world,98
mind,98
without,97
every,97
ever,97
word,96
make,95
see,93
big,93
perhaps,92
telescreen,92
kind,91
place,91
room,90
life,86
first,84
newspeak,84
day,83
looked,82
body,82
much,82
hand,81
power,81
brother,80
nothing,79
came,79
got,75
turned,74
get,74
human,73
possible,73
anything,73
end,72
remember,72
whole,72
already,71
seen,70
look,70
right,70
four,69
pain,69
except,69
sort,69
also,69
feeling,68
girl,67
happened,67
come,67
went,67
since,67
called,67
work,66
yes,66
ministry,65
table,65
everything,64
head,63
enough,63
side,63
white,62
oceania,62
think,62
suddenly,62
merely,61
go,61
well,61
woman,60
far,60
minutes,60
necessary,60
quite,59
times,59
sometimes,59
yet,59
small,58
bed,57
took,56
hands,55
good,55
whether,54
certain,54
actually,54
felt,54
behind,54
saw,53
different,53
simply,53
men,52
sat,52
fact,51
put,50
new,50
course,50
impossible,50
air,50
used,49
take,49
glass,49
across,49
better,49
become,48
great,48
true,48
love,47
hair,47
done,47
police,47
hours,47
began,47
proles,47
memory,47
days,46
full,46
upon,46
five,46
last,46
act,45
paper,45
ago,45
many,45
outside,44
heart,44
m,43
towards,43
inside,43
death,43
front,43
ve,43
enormous,43
victory,43
children,43
street,43
door,42
tell,42
left,42
longer,42
others,42
matter,42
less,42
things,41
taken,41
fingers,41
alone,41
member,41
keep,41
stopped,41
re,40
appeared,40
light,40
somewhere,40
mother,40
real,40
parsons,40
together,40
middle,40
black,40
understand,40
shall,40
give,40
book,40
gave,40
exist,39
large,39
set,38
next,38
arm,38
ingsoc,38
part,38
members,38
half,38
inner,37
eurasia,37
person,37
later,37
seconds,37
use,37
stood,37
dark,37
really,37
floor,37
heard,37
meaning,37
else,36
soon,36
goldstein,36
truth,36
thirty,36
changed,36
held,36
wall,35
within,35
hate,35
young,35
syme,35
brought,35
hold,35
going,34
passed,34
reality,34
dead,34
us,33
gin,33
existed,33
kept,33
whose,33
ll,33
ten,33
piece,33
gone,33
eastasia,33
believe,33
remembered,32
sure,32
revolution,32
may,32
water,32
however,32
control,32
probably,32
fear,32
week,32
sense,31
name,31
opposite,31
sitting,31
future,31
chapter,31
history,31
want,31
known,31
case,31
doublethink,31
either,31
near,31
written,31
society,31
present,30
trying,30
mouth,30
meant,30
top,30
needed,30
standing,30
enemy,30
able,30
need,30
prisoners,30
happen,29
cell,29
occurred,29
exactly,29
example,29
told,29
nearly,29
feel,29
arms,29
department,29
vocabulary,29
question,29
idea,29
let,29
started,29
among,28
records,28
physical,28
read,28
diary,28
lay,28
talking,28
general,28
turn,28
year,28
women,28
overalls,28
sound,28
important,28
alive,28
open,28
smell,28
faces,27
difficult,27
reason,27
night,27
everyone,27
whatever,27
difference,27
became,27
feet,27
looking,27
political,27
effort,27
single,27
deep,27
point,27
wanted,27
earlier,26
